agency_id,agency_business_entity_name,owner_name
629, A.M Joseph & B.J Sundell,Brett Sundell
629, A.M Joseph & B.J Sundell,Adam Joseph
271,A D Evers-Buckland,Alan Evers-Buckland
739,AA Access Partnership Limited,Greg Francis
739,AA Access Partnership Limited,Colin Thomson
739,AA Access Partnership Limited,Laura Sallstrom
739,AA Access Partnership Limited,Kathryn Martin
605,ABAKUS - Aircraft and Aviation Specialists Pty Limited,Keen Securities Pty Limited
605,ABAKUS - Aircraft and Aviation Specialists Pty Limited,Tipford Pty Limited
746,Advisory Street Pty Ltd,Taleen Shamlian
36,Aegis Consulting Group Pty Ltd,Vishal Beri
37,Aequum Pty Ltd,Gary Francis Scarrabelotti
104,Alkar Pty Ltd,Allan King
104,Alkar Pty Ltd,Karen King
671,ALSADA TECHNOLOGY PTY. LIMITED ,ALAN FUNG
745,AMG Consulting Services Pty Ltd,Colin Michael Warnock
666,APEC Lawyers and Consultants Pty Ltd.,Mr. Kam Sham LEUNG
415,APS Networking Pty Ltd,Anthony Stewart
588,Argos Consulting,Brett Robin Hilder
499,Asia Pacific Corporation Pty Ltd,Kenneth Warren Crooke
499,Asia Pacific Corporation Pty Ltd,Jonathan William Crooke
499,Asia Pacific Corporation Pty Ltd,Benjamin Andrew Crooke
499,Asia Pacific Corporation Pty Ltd,Daniel Alexander Crooke
379,assetpr,Julianne Dowling
379,assetpr,Anthony Rasman
63,AusAccess Unit Trust,Mark Ridgway (Consulting Canberra Pty Ltd)
63,AusAccess Unit Trust,Kerrie Ridgway (Consulting Canberra Pty Ltd)
747,Australian Industry Facilitation,David Mitchell
234,Australian Project Developments Pty. Ltd.,Rod Brown
45,Australian Public Affairs Limited Partnership,Australian Public Affairs Pty Ltd
45,Australian Public Affairs Limited Partnership,Centre for Litigation Communications Pty Ltd
45,Australian Public Affairs Limited Partnership,Strategic Issues Management Pty Ltd
135,Australian Spectrum Consultants Pty Ltd,William John McDonald
135,Australian Spectrum Consultants Pty Ltd,Megan Mary McDonald
42,Aviops Pty Ltd acting as trustee for the McCormack Family Trust,Errol John McCormack
42,Aviops Pty Ltd acting as trustee for the McCormack Family Trust,Faye Lynette McCormack
139,Bartholomew Quinn and Associates,David Quinn
338,Barton Deakin ,Singleton Ogilvy Mather (Holdings) Pty Limited
338,Barton Deakin ,Matthew Hingerty
186,BBS Communications Group Pty Ltd,Jane Edwards
583,BDaaS Consulting Pty Ltd,The Trustee for Osmosis Family Trust
162,Belman Consulting Pty Ltd,Liam Bathgate
162,Belman Consulting Pty Ltd,Jeanne Bathgate
110,Bluegrass Consulting Pty Ltd,Rodd Pahl
614,Bossy Group Pty Ltd,Nicole Martine Gill Cameron
614,Bossy Group Pty Ltd,McMahon Family Trust
614,Bossy Group Pty Ltd,Peter Michael McMahon
6,Bramex Pty Ltd,Mrs Barbara Ramsay
6,Bramex Pty Ltd,Mr Mervyn Ross Ramsay 
657,Brent William Knevett,Brent William Knevett
662,BroadSpectrum Consultants Pty Ltd,Andrew James King
662,BroadSpectrum Consultants Pty Ltd,Peggy Marie King
131,BTelecom Pty Ltd,Sarina Le
52,Bush Consulting Services Pty Ltd,Simon James Bush
654,C2hills Investments Pty Limited,cara leanne dale
700,Campaigns and Communications Group P/L,Ross Bruce Hawker
556,Capital Hill Advisory Pty Ltd,National Strategy Group
558,Catherine Emma Rocchi,Cate Rocchi
601,Catherine McGovern,Catherine McGovern
191,"Cemdia Pty, Ltd",Hendrik Prins
743,CETE Consulting Pty Ltd,Cameron Thomson
743,CETE Consulting Pty Ltd,Jeannie Louise Thomson
265,CGP solutions Ltd,CPK Communications Pty Ltd
265,CGP solutions Ltd,Roland Craig Holman
265,CGP solutions Ltd,The Regent Square Group
157,Chikarovski & Associates Pty Ltd,Kerry Chikarovski
658,Chris Drummer ,Christopher John Drummer
113,CHRIS SCHACHT,CHRIS SCHACHT
475,Clifton Consulting Services Pty Ltd,John Ridley
79,CMAX Communications Pty Ltd,Tara Taubenschlag
79,CMAX Communications Pty Ltd,Christian Taubenschlag
428,CMGRP Pty Ltd,InterPublic Group
472,Comsult(Aust) Pty Ltd,Leslie James Davey
472,Comsult(Aust) Pty Ltd,Christine Margaret Davey
625,Connect GR Pty Ltd as Trustee for Connect GR Unit Trust,Hodgson Coggin Family Trust
625,Connect GR Pty Ltd as Trustee for Connect GR Unit Trust,Clarity Corporate Communications Pty Ltd
142,Consilium International Group Pty Ltd,Michael Zarew
638,Contextual Communications Pty Ltd,Cassandra Scott
638,Contextual Communications Pty Ltd,Niji-Com Holdings Pty Ltd
18,Corporate Words Australia Pty Limited,Colin Fulton
160,Cotterell Jannette Suzanne,Jannette S Cotterell 
403,Covance Pty Ltd (Covance Market Access Services division),Covance Inc.
81,CPR Communications & Public Relations Pty Ltd,Enero Group Limited
683,Craig Emerson Economics Pty Ltd,Craig Emerson
